"","year","munCode","mun","totalPop","totalOldPop","births","deaths","totArea","inhabitable","kindergarten","elementary","lowerSecond","upperSecond","employed","percOldPop","birthrate","deathrate","percInhab","percEmpl","education"
"39",2020,"2446","Aomori-ken Hashikami-cho",13496,4281,64,192,9400,3932,0,6,2,0,6439,31.7205097806758,4.742145820984,14.226437462952,41.8297872340426,47.7104327208062,8
"40",2020,"2450","Aomori-ken Shingo-mura",2197,1084,8,54,15077,3327,0,2,2,0,1270,49.3400091033227,3.64132908511607,24.5789713245335,22.0667241493666,57.8060992262176,4
"41",2020,"3201","Iwate-ken Morioka-shi",289731,80035,1873,3135,88647,23656,20,44,27,17,141690,27.6238994101425,6.46461717938364,10.8203816643714,26.6856182386319,48.903983350073,108
"42",2020,"3202","Iwate-ken Miyako-shi",50369,19042,265,861,125915,11758,3,15,11,4,23450,37.8049991065933,5.26117254660605,17.0938474061427,9.33804550688957,46.5564136671365,33
"43",2020,"3203","Iwate-ken Ofunato-shi",34728,13055,165,570,32251,5429,1,11,5,2,17324,37.5921446671274,4.75120939875605,16.4132688320663,16.8335865554556,49.8848191660908,19
"44",2020,"3205","Iwate-ken Hanamaki-shi",93193,32231,492,1407,90839,32339,7,19,11,6,47508,34.5852156277832,5.27936647602288,15.0977004710654,35.6003478682064,50.9780777526209,43
"45",2020,"3206","Iwate-ken Kitakami-shi",93045,25238,565,1061,43755,20325,10,17,9,4,45361,27.1245096458703,6.07233059272395,11.4030845289913,46.4518340761056,48.7516792949648,40
"46",2020,"3207","Iwate-ken Kuji-shi",33043,11006,195,492,62350,8936,0,14,8,3,16181,33.3081136700663,5.90140120449112,14.8896891928699,14.3319967923015,48.9695245589081,25
"47",2020,"3208","Iwate-ken Tono-shi",25366,10283,126,500,82597,14247,1,11,3,2,13098,40.5385161239454,4.96727903492864,19.7114247417803,17.2488104894851,51.6360482535678,17
"48",2020,"3209","Iwate-ken Ichinoseki-shi",111932,41306,553,1780,125642,47901,10,28,17,8,56355,36.902762391452,4.9404995890362,15.902512239574,38.1249900510976,50.3475324304042,63
"49",2020,"3210","Iwate-ken Rikuzentakata-shi",18262,7356,95,347,23194,4915,1,8,2,1,9036,40.2803635965393,5.20205892016209,19.0012046873289,21.1908252134173,49.4797941079838,12
"50",2020,"3211","Iwate-ken Kamaishi-shi",32078,12778,130,603,44035,5155,2,9,5,2,14824,39.834154249018,4.0526217345221,18.7979300455141,11.7065970250937,46.212357378889,18
"51",2020,"3213","Iwate-ken Ninohe-shi",25513,9509,124,402,42042,10917,1,8,3,2,13551,37.2711950770196,4.86026731470231,15.7566730686317,25.9668902526045,53.1140986947831,14
"52",2020,"3214","Iwate-ken Hachimantai-shi",24023,9944,86,418,86230,20119,1,10,4,1,12609,41.3936644049453,3.57990259334804,17.3999916746451,23.3317870810623,52.4871997668901,16
"53",2020,"3215","Iwate-ken Oshu-shi",112937,39997,627,1728,99330,44779,11,27,9,8,58252,35.4153200456892,5.55176779974676,15.3005658021729,45.0810429880197,51.5791990224639,55
"54",2020,"3216","Iwate-ken Takizawashi",55579,14164,405,485,18246,8876,2,9,6,2,28621,25.484445563972,7.28692491768474,8.72631749401752,48.6462786364135,51.4960686590259,19
"55",2020,"3301","Iwate-ken Shizukuishi-cho",15731,6078,64,278,60882,12964,1,5,1,1,8381,38.6370860085182,4.0683999745725,17.6721123895493,21.2936500114977,53.2769690420189,8
"56",2020,"3302","Iwate-ken Kuzumaki-machi",5634,2716,22,122,43496,6442,0,4,3,1,2684,48.207312744054,3.90486332978346,21.6542421015264,14.8105572926246,47.6393326233582,8
"57",2020,"3303","Iwate-ken Iwate-machi",12285,4896,63,246,36046,8940,1,3,3,1,6434,39.8534798534799,5.12820512820513,20.02442002442,24.8016423458914,52.3728123728124,8
"58",2020,"3321","Iwate-ken Shiwa-cho",32147,10088,181,403,23898,10073,1,11,3,1,17028,31.3808442467415,5.6303854169907,12.5361620057859,42.1499707088459,52.9691728621644,16
"59",2020,"3322","Iwate-ken Yahaba-cho",28056,7370,180,235,6732,5151,0,4,2,1,14202,26.2688907898489,6.41573994867408,8.37610493299116,76.5151515151515,50.6201881950385,7
"60",2020,"3366","Iwate-ken Nishiwaga-machi",5134,2619,13,124,59074,10898,0,2,2,1,2653,51.0128554733152,2.53213868328788,24.1527074405921,18.4480482107188,51.6751071289443,5
"61",2020,"3381","Iwate-ken Kanegasaki-cho",15535,4765,106,195,17976,10894,4,5,1,1,8585,30.672674605729,6.82330222079176,12.5523012552301,60.6030262572319,55.2623109108465,11
"62",2020,"3402","Iwate-ken Hiraizumi-cho",7252,2859,30,122,6339,3270,1,2,1,0,3784,39.4236072807501,4.13678985107556,16.822945394374,51.5854235683862,52.1787093215665,4
"63",2020,"3441","Iwate-ken Sumita-cho",5045,2287,19,101,33484,3451,0,2,2,1,2471,45.3320118929633,3.76610505450942,20.01982160555,10.3064150041811,48.9791873141724,5
"64",2020,"3461","Iwate-ken Otsuchi-cho",11004,4199,54,207,20042,2426,1,1,1,1,5091,38.1588513267903,4.90730643402399,18.8113413304253,12.1045803811995,46.2649945474373,4
"65",2020,"3482","Iwate-ken Yamada-machi",14320,5745,74,234,26281,2650,2,3,1,1,6839,40.1187150837989,5.16759776536313,16.340782122905,10.0833301624748,47.7583798882682,7
"66",2020,"3483","Iwate-ken Iwaizumi-cho",8726,3863,34,199,99236,7002,0,7,4,1,4187,44.2699977079991,3.89640155856062,22.8054091221636,7.05590713047684,47.9830391932157,12
"67",2020,"3484","Iwate-ken Tanohata-mura",3059,1296,11,70,15619,2143,0,1,1,0,1514,42.3667865315463,3.5959463877084,22.883295194508,13.7204686599654,49.4932984635502,2
"68",2020,"3485","Iwate-ken Fudai-mura",2487,1067,11,50,6966,1135,0,1,1,0,1250,42.9030960997185,4.42299959790913,20.1045436268597,16.2934252081539,50.2613590671492,2
"69",2020,"3501","Iwate-ken Karumai-machi",8421,3521,30,147,24582,5861,1,3,1,1,4463,41.812136325852,3.56252226576416,17.4563591022444,23.8426490928322,52.9984562403515,6
"70",2020,"3503","Iwate-ken Noda-mura",3936,1513,19,60,8080,1012,0,1,1,1,1911,38.4400406504065,4.82723577235772,15.2439024390244,12.5247524752475,48.5518292682927,3
"71",2020,"3506","Iwate-ken Kunohe-mura",5378,2378,11,87,13402,3493,1,5,1,1,2794,44.2171811082187,2.04537002603198,16.1770174786166,26.0632741381883,51.9523986612123,8
"72",2020,"3507","Iwate-ken Hirono-cho",15091,6274,51,290,30292,6319,1,8,3,2,7237,41.5744483466967,3.37949771386919,19.216751706315,20.8602931467054,47.9557352064144,14
"73",2020,"3524","Iwate-ken Ichinohe-machi",11494,4881,44,245,30003,7927,1,6,3,1,5725,42.4656342439534,3.82808421785279,21.3154689403167,26.4206912642069,49.8085957891074,11
"74",2020,"4100","Miyagi-ken Sendai-shi",1096704,257223,7843,9165,78635,34179,87,126,73,35,502190,23.4541863620448,7.15142827964519,8.35685836834734,43.4653780123355,45.7908423786181,321
"75",2020,"4101","Miyagi-ken Sendai-shi Aoba-ku",311590,69969,1873,2699,30224,9499,20,31,22,12,138021,22.4554703295998,6.01110433582592,8.66202381334446,31.4286659608258,44.2957091049135,85
"76",2020,"4102","Miyagi-ken Sendai-shi Miyagino-ku",196732,40773,1673,1445,5825,5444,18,20,11,6,93009,20.7251489335746,8.50395461846573,7.34501758737775,93.4592274678112,47.2770062826586,55
"77",2020,"4103","Miyagi-ken Sendai-shi Wakabayashi-ku",141475,30767,1110,1182,5086,4864,13,15,8,5,67496,21.7473051775932,7.84590917123167,8.35483300936561,95.6350766810853,47.7087824704011,41
"78",2020,"4104","Miyagi-ken Sendai-shi Taihaku-ku",234758,58657,1893,2091,22839,7077,18,29,14,5,106640,24.9861559563465,8.06362296492558,8.90704470135203,30.9864705109681,45.4255020063214,66
"79",2020,"4105","Miyagi-ken Sendai-shi Izumi-ku",212149,57057,1294,1748,14661,7295,18,31,18,7,97024,26.8947767842413,6.09948668153043,8.23949205511221,49.7578609917468,45.7338945740965,74
"80",2020,"4202","Miyagi-ken Ishinomaki-shi",140151,46507,745,1971,55455,24088,13,33,19,8,65193,33.1834949447382,5.31569521444727,14.0634030438598,43.4370210080245,46.5162574651626,73
"81",2020,"4203","Miyagi-ken Shiogama-shi",52203,17682,245,703,1737,1472,5,7,5,1,23351,33.8716165737601,4.69321686493113,13.4666590042718,84.7438111686816,44.7311457195947,18
"82",2020,"4205","Miyagi-ken Kesennuma-shi",61147,23437,243,978,33244,9106,10,14,11,4,28763,38.3289450013901,3.97402979704646,15.9942433807055,27.3914089760558,47.0391024907191,39
"83",2020,"4206","Miyagi-ken Shiroishi-shi",32758,11648,119,464,28648,9101,3,14,5,2,15899,35.5577263569204,3.63270040906038,14.1644789059161,31.7683607930746,48.5347090786983,24
"84",2020,"4207","Miyagi-ken Natori-shi",78718,17878,596,667,9818,7074,3,10,4,2,36275,22.711451002312,7.57133057242308,8.47328438222516,72.0513342839682,46.0822175360146,19
"85",2020,"4208","Miyagi-ken Kakuda-shi",27976,10015,123,462,14753,9098,5,8,3,1,13381,35.7985416070918,4.39662567915356,16.5141549899914,61.6688131227547,47.8302830997998,17
"86",2020,"4209","Miyagi-ken Tagajo-shi",62827,15490,471,504,1969,1911,7,6,4,2,28387,24.655005013768,7.49677686345043,8.02202874560301,97.054342305739,45.1828035717128,19
"87",2020,"4211","Miyagi-ken Iwanuma-shi",44068,11755,322,443,6045,4634,4,4,4,1,20205,26.6746845783789,7.30688935281837,10.052645910865,76.6583953680728,45.8495960787873,13
"88",2020,"4212","Miyagi-ken Tome-shi",76037,26956,390,1160,53612,30617,12,22,10,3,38892,35.4511619343214,5.12908189434091,15.255730762655,57.1084831754085,51.148782829412,47
"89",2020,"4213","Miyagi-ken Kurihara-shi",64637,26204,267,1198,80497,36915,11,12,7,4,32223,40.5402478456612,4.13076101923047,18.5342760338506,45.8588518826789,49.852251806241,34
"90",2020,"4214","Miyagi-ken Higashimatsushima-shi",39098,11587,247,460,10130,7342,4,8,3,3,17981,29.6357869967773,6.31745869353931,11.7653076883728,72.4777887462981,45.9895646836155,18
"91",2020,"4215","Miyagi-ken Osaki-shi",127330,38738,737,1657,79681,37431,25,25,13,9,63564,30.4233095107202,5.78810963637792,13.0134296709338,46.9760670674314,49.9206785517946,72
