YEAR Code,YEAR,AREA Code,AREA,/ITEMS,A1101_Total population (Both sexes)[person],Annotation,A1303_Total population (65 and over)[person],Annotation,A4101_Number of live births[person],Annotation,A4200_Number of deaths[person],Annotation,A5103_Number of in-migrants from other municipalities[person],Annotation,A5104_Number of out-migrants to other municipalities[person],Annotation,B1102_Total land area (Incl. the northern territories and Takeshima)[ha],Annotation,B1103_Inhabitable area[ha],Annotation,"C210710_Number of establishments (Electricity, gas, heat supply and water)[number of establishments]",Annotation,C210712_Number of establishments (Transport and postal activities)[number of establishments],Annotation,C210713_Number of establishments (Wholesale and retail trade)[number of establishments],Annotation,C3109_Area of abandoned cropland[ha],Annotation,D320303_Total welfare expenditure (Municipality)[thousand yen],Annotation,E1101_Number of kindergartens[number of kindergartens],Annotation,E2101_Number of elementary schools[number of schools],Annotation,E3101_Number of lower secondary schools[number of schools],Annotation,E4101_Number of upper secondary schools[number of schools],Annotation,F1102_(Population census) Number of employed persons[person],Annotation,"I1101_Life expectancy (0 years old, Male)[years]",Annotation,"I1102_Life expectancy (0 years old, Female)[years]",Annotation,I5101_Number of hospitals[number of hospitals],Annotation,I5102_Number of general clinics[number of clinics],Annotation,I5103_Number of dental clinics[number of clinics],Annotation,J2301_Number of welfare institutions for the aged (Questionnaire about details)[number of establishments],Annotation,K4201_Number of recognitions of criminal offenses[number of cases],Annotation
2020100000,2020,01220,Hokkaido Shibetsu-shi,,"17,858",,"7,350",,71,,264,,397,,646,,"111,922",,"27,978",,***,,***,,***,,***,,***,,3,,6,,4,,2,,"8,810",,***,,***,,1,,12,,9,,***,,***,
2020100000,2020,01221,Hokkaido Nayoro-shi,,"27,282",,"8,747",,161,,297,,"1,256",,"1,331",,"53,520",,"19,852",,***,,***,,***,,***,,***,,3,,7,,4,,2,,"13,689",,***,,***,,4,,10,,15,,***,,***,
2020100000,2020,01222,Hokkaido Mikasa-shi,,"8,040",,"3,819",,38,,194,,315,,314,,"30,252",,"5,678",,***,,***,,***,,***,,***,,0,,2,,2,,1,,"3,147",,***,,***,,2,,4,,3,,***,,***,
2020100000,2020,01223,Hokkaido Nemuro-shi,,"24,636",,"8,648",,115,,385,,672,,"1,015",,"50,625",,"20,785",,***,,***,,***,,***,,***,,2,,7,,6,,1,,"12,722",,***,,***,,3,,7,,9,,***,,***,
2020100000,2020,01224,Hokkaido Chitose-shi,,"97,950",,"22,690",,708,,915,,"5,977",,"5,485",,"59,450",,"19,623",,***,,***,,***,,***,,***,,8,,17,,9,,2,,"47,913",,***,,***,,7,,56,,46,,***,,***,
2020100000,2020,01225,Hokkaido Takikawa-shi,,"39,490",,"13,821",,214,,579,,"1,639",,"1,889",,"11,590",,"10,206",,***,,***,,***,,***,,***,,2,,6,,4,,3,,"18,184",,***,,***,,5,,24,,26,,***,,***,
2020100000,2020,01226,Hokkaido Sunagawa-shi,,"16,486",,"6,404",,76,,295,,522,,640,,"7,868",,"4,884",,***,,***,,***,,***,,***,,1,,5,,2,,1,,"7,444",,***,,***,,2,,7,,8,,***,,***,
2020100000,2020,01227,Hokkaido Utashinai-shi,,"2,989",,"1,592",,6,,67,,54,,105,,"5,595",,"1,398",,***,,***,,***,,***,,***,,0,,1,,1,,0,,"1,150",,***,,***,,1,,4,,1,,***,,***,
2020100000,2020,01228,Hokkaido Fukagawa-shi,,"20,039",,"8,544",,84,,348,,742,,808,,"52,942",,"21,452",,***,,***,,***,,***,,***,,2,,6,,2,,2,,"9,324",,***,,***,,5,,14,,13,,***,,***,
2020100000,2020,01229,Hokkaido Furano-shi,,"21,131",,"7,255",,125,,278,,776,,"1,059",,"60,071",,"19,740",,***,,***,,***,,***,,***,,4,,9,,5,,2,,"10,779",,***,,***,,3,,11,,13,,***,,***,
2020100000,2020,01230,Hokkaido Noboribetsu-shi,,"46,391",,"17,287",,243,,624,,"1,616",,"1,986",,"21,221",,"3,744",,***,,***,,***,,***,,***,,4,,8,,5,,1,,"20,102",,***,,***,,6,,18,,21,,***,,***,
2020100000,2020,01231,Hokkaido Eniwa-shi,,"70,331",,"19,673",,424,,669,,"3,233",,"2,939",,"29,465",,"9,736",,***,,***,,***,,***,,***,,6,,8,,5,,2,,"32,273",,***,,***,,7,,35,,37,,***,,***,
2020100000,2020,01233,Hokkaido Date-shi,,"32,826",,"12,601",,162,,507,,"1,034",,"1,169",,"44,421",,"13,092",,***,,***,,***,,***,,***,,2,,8,,3,,2,,"14,832",,***,,***,,3,,25,,19,,***,,***,
2020100000,2020,01234,Hokkaido Kitahiroshima-shi,,"58,171",,"19,380",,253,,621,,"2,335",,"2,127",,"11,905",,"7,400",,***,,***,,***,,***,,***,,6,,9,,8,,3,,"25,226",,***,,***,,5,,36,,32,,***,,***,
2020100000,2020,01235,Hokkaido Ishikari-shi,,"56,869",,"19,402",,279,,615,,"2,240",,"1,893",,"72,242",,"21,533",,***,,***,,***,,***,,***,,0,,9,,6,,2,,"23,568",,***,,***,,5,,26,,23,,***,,***,
2020100000,2020,01236,Hokkaido Hokuto-shi,,"44,302",,"13,332",,247,,525,,"1,491",,"1,608",,"39,744",,"9,835",,***,,***,,***,,***,,***,,4,,11,,5,,3,,"20,738",,***,,***,,0,,27,,16,,***,,***,
2020100000,2020,01303,Hokkaido Tobetsu-cho,,"15,916",,"5,553",,47,,203,,589,,672,,"42,286",,"15,932",,***,,***,,***,,***,,***,,0,,2,,2,,1,,"7,619",,***,,***,,0,,13,,6,,***,,***,
2020100000,2020,01304,Hokkaido Shinshinotsu-mura,,"3,044",,"1,142",,14,,66,,77,,80,,"7,804",,"7,589",,***,,***,,***,,***,,***,,0,,1,,1,,0,,"1,483",,***,,***,,0,,3,,1,,***,,***,
2020100000,2020,01331,Hokkaido Matsumae-cho,,"6,260",,"3,266",,21,,132,,190,,319,,"29,325",,"2,363",,***,,***,,***,,***,,***,,0,,3,,1,,1,,"2,653",,***,,***,,1,,3,,4,,***,,***,
2020100000,2020,01332,Hokkaido Fukushima-cho,,"3,794",,"1,851",,13,,81,,93,,131,,"18,725",,"1,638",,***,,***,,***,,***,,***,,1,,2,,1,,1,,"1,639",,***,,***,,0,,3,,2,,***,,***,
